excluded,k,estimate,se,ci_lower,ci_upper,p_value,I2,comparison
51,277,-0.5294056477170493,0.06659994003727887,-0.6599415301901159,-0.39886976524398277,1.7763568394002505e-15,98.41361282223998,Strong Synergy
51,277,-0.5291019189352265,0.06793852668918647,-0.662261431246032,-0.39594240662442104,6.8833827526759706e-15,98.40216239061178,Strong Synergy
4,277,-0.5341183183725942,0.06644141872067551,-0.6643434990651181,-0.4038931376800702,8.881784197001252e-16,98.41201284522776,Strong Synergy
4,277,-0.5336581130127421,0.06644805200543619,-0.6638962949433971,-0.4034199310820872,8.881784197001252e-16,98.41235061372264,Strong Synergy
75,277,-0.5222412375434002,0.0661265138242031,-0.6518492046388383,-0.39263327044796215,2.886579864025407e-15,98.38300541336373,Strong Synergy
75,277,-0.5215194249331528,0.0660562718484227,-0.6509897177560613,-0.39204913211024434,2.886579864025407e-15,98.3818255688367,Strong Synergy
75,277,-0.5236530407751704,0.06640339004359384,-0.6538036852606143,-0.3935023962897265,3.1086244689504383e-15,98.39825334078155,Strong Synergy
75,277,-0.5246755394817961,0.06652010383700503,-0.655054943002326,-0.3942961359612663,3.1086244689504383e-15,98.40691720396335,Strong Synergy
81,277,-0.5305892295825912,0.06641859577132202,-0.6607696772943824,-0.4004087818708001,1.3322676295501878e-15,98.41410167769419,Strong Synergy
67,277,-0.5298255499332775,0.06671858732650894,-0.660593981093235,-0.39905711877331995,1.9984014443252818e-15,98.41180086419921,Strong Synergy
67,277,-0.5312682503244567,0.06651307178892422,-0.6616338710307481,-0.4009026296181652,1.3322676295501878e-15,98.41188167469048,Strong Synergy
67,277,-0.5241036836956151,0.06645807562564668,-0.6543615119218826,-0.3938458554693476,3.1086244689504383e-15,98.41319770318218,Strong Synergy
67,277,-0.5295759729092542,0.06651308191706062,-0.659941613466693,-0.39921033235181536,1.7763568394002505e-15,98.4139418801752,Strong Synergy
67,277,-0.5293506494183543,0.06661596179767779,-0.6599179345418027,-0.39878336429490585,1.9984014443252818e-15,98.4135951344684,Strong Synergy
2,277,-0.5322151932627586,0.06645807568612548,-0.6624730216075645,-0.40195736491795264,1.1102230246251565e-15,98.41353262830155,Strong Synergy
2,277,-0.529112033541111,0.06647224218730216,-0.6593976282282232,-0.3988264388539988,1.7763568394002505e-15,98.41415299017909,Strong Synergy
11,277,-0.526063691698398,0.06654004793553057,-0.6564821856520379,-0.39564519774475804,2.6645352591003757e-15,98.4128381087274,Strong Synergy
11,277,-0.524980638970061,0.0665042588216976,-0.6553289862605882,-0.39463229167953373,2.886579864025407e-15,98.41132354032173,Strong Synergy
22,277,-0.5308617195585957,0.06647274270900745,-0.6611482952682504,-0.4005751438489411,1.3322676295501878e-15,98.41382375580889,Strong Synergy
25,277,-0.532954921971637,0.06645615464195745,-0.6632089850698736,-0.40270085887340035,1.1102230246251565e-15,98.41295651102341,Strong Synergy
